Accession,Release_Date,Species,Length,Geo_Location,Host,Isolation_Source,Collection_Date
NC_045512,2020-01-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29903,China,Homo sapiens,,2019-12
LC547518,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Japan:Kochi,Homo sapiens,oronasopharynx,3/8/2020
LC547519,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29739,Japan:Chiba,Homo sapiens,oronasopharynx,3/10/2020
LC547520,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29782,Japan:Chiba,Homo sapiens,oronasopharynx,3/10/2020
LC547521,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Ishikawa,Homo sapiens,oronasopharynx,3/9/2020
LC547522,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29738,Japan:Ishikawa,Homo sapiens,oronasopharynx,3/20/2020
LC547523,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29829,Japan:Saitama,Homo sapiens,oronasopharynx,3/11/2020
LC547524,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Saitama,Homo sapiens,oronasopharynx,3/12/2020
LC547525,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29829,Japan:Saitama,Homo sapiens,oronasopharynx,3/12/2020
LC547526,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29802,Japan:Saitama,Homo sapiens,oronasopharynx,3/17/2020
LC547527,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Saitama,Homo sapiens,oronasopharynx,3/18/2020
LC547528,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29792,Japan:Saitama,Homo sapiens,oronasopharynx,3/20/2020
LC547529,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29830,Japan:Saitama,Homo sapiens,oronasopharynx,3/20/2020
LC547530,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Saitama,Homo sapiens,oronasopharynx,3/19/2020
LC547531,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29766,Japan:Chiba,Homo sapiens,oronasopharynx,3/12/2020
LC547532,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29738,Japan:Chiba,Homo sapiens,oronasopharynx,3/13/2020
LC547533,2020-05-16T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,Japan:Chiba,Homo sapiens,oronasopharynx,3/13/2020
LC546038,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,Japan,Homo sapiens,oronasopharynx,3/23/2020
MT079843,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29915,China,Homo sapiens,,1/22/2020
MT079844,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29910,China,Homo sapiens,,1/22/2020
MT079845,2020-05-15T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29955,China,Homo sapiens,,1/22/2020
